p,d,q,AIC,BIC,converged
0,0,0,-15323.442926691889,-15311.656528952799,True
0,0,1,-15321.804834210081,-15304.125237601447,True
0,0,2,-15321.148507588528,-15297.57571211035,True
0,0,3,-15319.191711654994,-15289.72571730727,True
0,1,0,-13494.561615988538,-13488.668790462287,True
0,1,1,-15308.204371766766,-15296.418720714264,True
0,1,2,-15306.57615264495,-15288.897676066197,True
0,1,3,-15305.869637902226,-15282.29833579722,True
1,0,0,-15321.78881829697,-15304.109221688335,True
1,0,1,-15320.302557112176,-15296.729761633998,True
1,0,2,-15318.915125766554,-15289.44913141883,True
1,0,3,-15317.180495682102,-15281.821302464834,True
1,1,0,-14202.353271712687,-14190.567620660186,True
1,1,1,-15306.559079889024,-15288.880603310272,True
1,1,2,-15309.6691252999,-15286.097823194896,True
1,1,3,-15304.143708883812,-15274.679581252556,True
2,0,0,-15321.197213717933,-15297.624418239755,True
2,0,1,-15319.09373624505,-15289.627741897326,True
2,0,2,-15317.171535343496,-15281.812342126228,True
2,0,3,-15325.542508076527,-15284.290115989716,True
2,1,0,-14538.787507339928,-14521.109030761176,True
2,1,1,-15305.682165539434,-15282.11086343443,True
2,1,2,-15305.082146796609,-15275.618019165353,True
2,1,3,-15301.04405355398,-15265.687100396473,True
3,0,0,-15319.283002435048,-15289.817008087324,True
3,0,1,-15317.278288873224,-15281.919095655956,True
3,0,2,-15315.242508543099,-15273.990116456287,True
3,0,3,-15300.973890215602,-15253.828299259245,True
3,1,0,-14738.51962223652,-14714.948320131514,True
3,1,1,-15297.019283831803,-15267.555156200548,True
3,1,2,-15302.496154460243,-15267.139201302736,True
3,1,3,-15295.248907017487,-15253.99912833373,True
